"JX2
Pin","MicroZed
Net Name","Zynq
Pin","Zynq
Name","VCCO
Bank"
1,PMOD_D0,E8,PS_MIO13_500,-1
2,PMOD_D1,E9,PS_MIO10_500,-1
3,PMOD_D2,C6,PS_MIO11_500,-1
4,PMOD_D3,D9,PS_MIO12_500,-1
5,PMOD_D4,E6,PS_MIO0_500,-1
6,PMOD_D5,B5,PS_MIO9_500,-1
7,PMOD_D6,C5,PS_MIO14_500,-1
8,PMOD_D7,C8,PS_MIO15_500,-1
9,NetJX2_9,R10,INIT_B_0,-1
10,NetJX2_10,L6,PROGRAM_B_0,-1
11,PG_MODULE,C7,PS_POR_B_500,-1
12,VIN_HDR,#N/A,#N/A,#N/A
13,JX2_SE_0,G14,IO_0_35,35
14,JX2_SE_1,J15,IO_25_35,35
15,GND,A8,GND,-1
16,GND,A8,GND,-1
17,JX2_LVDS_0_P,C20,IO_L1P_T0_AD0P_35,35
18,JX2_LVDS_1_P,B19,IO_L2P_T0_AD8P_35,35
19,JX2_LVDS_0_N,B20,IO_L1N_T0_AD0N_35,35
20,JX2_LVDS_1_N,A20,IO_L2N_T0_AD8N_35,35
21,GND,A8,GND,-1
22,GND,A8,GND,-1
23,JX2_LVDS_2_P,E17,IO_L3P_T0_DQS_AD1P_35,35
24,JX2_LVDS_3_P,D19,IO_L4P_T0_35,35
25,JX2_LVDS_2_N,D18,IO_L3N_T0_DQS_AD1N_35,35
26,JX2_LVDS_3_N,D20,IO_L4N_T0_35,35
27,GND,A8,GND,-1
28,GND,A8,GND,-1
29,JX2_LVDS_4_P,E18,IO_L5P_T0_AD9P_35,35
30,JX2_LVDS_5_P,F16,IO_L6P_T0_35,35
31,JX2_LVDS_4_N,E19,IO_L5N_T0_AD9N_35,35
32,JX2_LVDS_5_N,F17,IO_L6N_T0_VREF_35,35
33,GND,A8,GND,-1
34,GND,A8,GND,-1
35,JX2_LVDS_6_P,L19,IO_L9P_T1_DQS_AD3P_35,35
36,JX2_LVDS_7_P,M19,IO_L7P_T1_AD2P_35,35
37,JX2_LVDS_6_N,L20,IO_L9N_T1_DQS_AD3N_35,35
38,JX2_LVDS_7_N,M20,IO_L7N_T1_AD2N_35,35
39,GND,A8,GND,-1
40,GND,A8,GND,-1
41,JX2_LVDS_8_P,M17,IO_L8P_T1_AD10P_35,35
42,JX2_LVDS_9_P,K19,IO_L10P_T1_AD11P_35,35
43,JX2_LVDS_8_N,M18,IO_L8N_T1_AD10N_35,35
44,JX2_LVDS_9_N,J19,IO_L10N_T1_AD11N_35,35
45,GND,A8,GND,-1
46,GND,A8,GND,-1
47,JX2_LVDS_10_P,L16,IO_L11P_T1_SRCC_35,35
48,JX2_LVDS_11_P,K17,IO_L12P_T1_MRCC_35,35
49,JX2_LVDS_10_N,L17,IO_L11N_T1_SRCC_35,35
50,JX2_LVDS_11_N,K18,IO_L12N_T1_MRCC_35,35
51,GND,A8,GND,-1
52,GND,A8,GND,-1
53,JX2_LVDS_12_P,H16,IO_L13P_T2_MRCC_35,35
54,JX2_LVDS_13_P,J18,IO_L14P_T2_AD4P_SRCC_35,35
55,JX2_LVDS_12_N,H17,IO_L13N_T2_MRCC_35,35
56,JX2_LVDS_13_N,H18,IO_L14N_T2_AD4N_SRCC_35,35
57,VIN_HDR,#N/A,#N/A,#N/A
58,VIN_HDR,#N/A,#N/A,#N/A
59,VIN_HDR,#N/A,#N/A,#N/A
60,VIN_HDR,#N/A,#N/A,#N/A
61,JX2_LVDS_14_P,G17,IO_L16P_T2_35,35
62,JX2_LVDS_15_P,F19,IO_L15P_T2_DQS_AD12P_35,35
63,JX2_LVDS_14_N,G18,IO_L16N_T2_35,35
64,JX2_LVDS_15_N,F20,IO_L15N_T2_DQS_AD12N_35,35
65,GND,A8,GND,-1
66,GND,A8,GND,-1
67,JX2_LVDS_16_P,G19,IO_L18P_T2_AD13P_35,35
68,JX2_LVDS_17_P,J20,IO_L17P_T2_AD5P_35,35
69,JX2_LVDS_16_N,G20,IO_L18N_T2_AD13N_35,35
70,JX2_LVDS_17_N,H20,IO_L17N_T2_AD5N_35,35
71,GND,A8,GND,-1
72,GND,A8,GND,-1
73,JX2_LVDS_18_P,K14,IO_L20P_T3_AD6P_35,35
74,JX2_LVDS_19_P,H15,IO_L19P_T3_35,35
75,JX2_LVDS_18_N,J14,IO_L20N_T3_AD6N_35,35
76,JX2_LVDS_19_N,G15,IO_L19N_T3_VREF_35,35
77,GND,A8,GND,-1
78,VCCO_35,C19,VCCO_35,35
79,VCCO_35,C19,VCCO_35,35
80,VCCO_35,C19,VCCO_35,35
81,JX2_LVDS_20_P,N15,IO_L21P_T3_DQS_AD14P_35,35
82,JX2_LVDS_21_P,L14,IO_L22P_T3_AD7P_35,35
83,JX2_LVDS_20_N,N16,IO_L21N_T3_DQS_AD14N_35,35
84,JX2_LVDS_21_N,L15,IO_L22N_T3_AD7N_35,35
85,GND,A8,GND,-1
86,GND,A8,GND,-1
87,JX2_LVDS_22_P,M14,IO_L23P_T3_35,35
88,JX2_LVDS_23_P,K16,IO_L24P_T3_AD15P_35,35
89,JX2_LVDS_22_N,M15,IO_L23N_T3_35,35
90,JX2_LVDS_23_N,J16,IO_L24N_T3_AD15N_35,35
91,GND,A8,GND,-1
92,GND,A8,GND,-1
93,BANK13_LVDS_4_P,Y12,IO_L20P_T3_13,13
94,BANK13_LVDS_5_P,V11,IO_L21P_T3_DQS_13,13
95,BANK13_LVDS_4_N,Y13,IO_L20N_T3_13,13
96,BANK13_LVDS_5_N,V10,IO_L21N_T3_DQS_13,13
97,BANK13_LVDS_6_P,V6,IO_L22P_T3_13,13
98,VCCO_13,T8,VCCO_13,13
99,BANK13_LVDS_6_N,W6,IO_L22N_T3_13,13
100,BANK13_SE_0,V5,IO_L6N_T0_VREF_13,13
