JX,Pairing,Line,Sense,Unit,UNum,UOrder,LNum,LOrder,Name,Side,Type
2,LVDS,5,DIFF,IN0,0,1,2,2,IN0_SDOA1,left,in
2,LVDS,4,DIFF,IN0,0,2,2,1,IN0_SDOB1,left,in
2,LVDS,6,DIFF,IN0,0,3,2,3,IN0_SDOA2,left,in
2,LVDS,3,DIFF,IN0,0,4,2,0,IN0_SDOA3,left,in
2,LVDS,9,DIFF,IN1,1,1,3,2,IN1_SDOA1,left,in
2,LVDS,8,DIFF,IN1,1,2,3,1,IN1_SDOB1,left,in
2,LVDS,10,DIFF,IN1,1,3,3,3,IN1_SDOA2,left,in
2,LVDS,7,DIFF,IN1,1,4,3,0,IN1_SDOA3,left,in
2,LVDS,13,DIFF,IN2,2,1,4,2,IN2_SDOA1,left,in
2,LVDS,12,DIFF,IN2,2,2,4,1,IN2_SDOB1,left,in
2,LVDS,14,DIFF,IN2,2,3,4,3,IN2_SDOA2,left,in
2,LVDS,11,DIFF,IN2,2,4,4,0,IN2_SDOA3,left,in
2,LVDS,17,DIFF,IN3,3,1,5,2,IN3_SDOA1,left,in
2,LVDS,16,DIFF,IN3,3,2,5,1,IN3_SDOB1,left,in
2,LVDS,18,DIFF,IN3,3,3,5,3,IN3_SDOA2,left,in
2,LVDS,15,DIFF,IN3,3,4,5,0,IN3_SDOA3,left,in
2,SE,0,SE,ICLK,4,0,1,3,ICLK_SYNC,right,out
2,SE,1,SE,ICLK,4,1,1,4,ICLK_SDI,right,out
2,LVDS,20,DIFF,ICLK,4,2,6,2,ICLK_MCLK_ENA,right,out
2,LVDS,22,DIFF,ICLK,4,3,6,4,SCKB,right,out
2,LVDS,21,DIFF,ICLK,4,4,6,3,SCKA,right,out
1,LVDS,13,DIFF,ICLK,4,5,7,0,SYSCLK,left,in
2,LVDS,19,DIFF,ICLK,4,5,6,1,ICLK_DEBUG,right,out
1,LVDS,5,SE_N,OUT,5,0,0,9,DOUTL1,right,out
1,LVDS,5,SE_P,OUT,5,1,0,8,DOUTL2,right,out
1,LVDS,7,SE_P,OUT,5,2,0,10,DOUTL3,right,out
1,LVDS,3,SE_N,OUT,5,3,0,7,DOUTL4,right,out
1,LVDS,7,SE_N,OUT,5,4,0,11,DOUTL5,right,out
1,LVDS,3,SE_P,OUT,5,5,0,6,DOUTL6,right,out
1,LVDS,9,DIFF,OUT,5,6,0,12,DFB1,left,in
1,LVDS,12,DIFF,OUT,5,7,0,5,DFB2,left,in
1,LVDS,11,DIFF,OUT,5,8,0,13,DFB3,left,in
1,LVDS,10,DIFF,OUT,5,9,0,4,DFB4,left,in
1,LVDS,8,DIFF,OUT,5,10,0,3,DOUT1,right,out
1,LVDS,15,DIFF,OUT,5,11,0,14,DOUT2,right,out
1,LVDS,6,DIFF,OUT,5,12,0,2,DOUT3,right,out
1,LVDS,17,DIFF,OUT,5,13,0,15,DOUT4,right,out
1,LVDS,19,DIFF,OUT,5,14,0,16,DOUT5,right,out
1,LVDS,4,DIFF,OUT,5,15,0,1,DOUT6,right,out
1,LVDS,21,DIFF,OUT,5,16,0,17,DOUT7,right,out
1,LVDS,0,DIFF,OUT,5,17,0,0,DOUT8,right,out
1,SE,0,SE,BIST,6,0,1,5,IN3_CARDSEL,right,out
1,SE,1,SE,BIST,6,1,1,6,IN2_CARDSEL,right,out
2,LVDS,1,SE_P,BIST,6,2,1,7,IN1_CARDSEL,right,out
2,LVDS,0,SE_P,BIST,6,3,1,8,IN0_CARDSEL,right,out
2,LVDS,0,SE_N,BIST,6,4,1,9,BIST_SYNC,right,out
2,LVDS,1,SE_N,BIST,6,5,1,10,BIST_MOSI,right,out
2,LVDS,2,SE_P,BIST,6,6,1,11,BIST_SCLK,right,out
1,LVDS,14,SE_P,DEBUG,7,1,8,1,DEBUG1,right,out
1,LVDS,14,SE_N,DEBUG,7,2,8,2,DEBUG2,right,out
1,LVDS,16,SE_P,DEBUG,7,3,8,3,DEBUG3,right,out
1,LVDS,16,SE_N,DEBUG,7,4,8,4,DEBUG4,right,out
1,LVDS,18,SE_P,DEBUG,7,5,8,5,DEBUG5,right,out
1,LVDS,18,SE_N,DEBUG,7,6,8,6,DEBUG6,right,out
1,LVDS,20,SE_P,DEBUG,7,7,8,7,DEBUG7,right,out
1,LVDS,20,SE_N,DEBUG,7,8,8,8,DEBUG8,right,out
1,LVDS,22,SE_P,DEBUG,7,9,8,9,LED1,right,out
1,LVDS,22,SE_N,DEBUG,7,10,8,10,LED2,right,out
1,LVDS,23,SE_P,DEBUG,7,11,8,11,LED3,right,out
1,LVDS,23,SE_N,DEBUG,7,12,8,12,LED4,right,out
